               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.055028,            0.013646,                   0,             0.74597,                 0.5,             0.61819,             0.19541,            0.055752,            0.013323,                   0,           0.0033906,           0.0033906,            0.068391
                  39,            0.052716,            0.014218,                   0,             0.66423,             0.66059,             0.53121,             0.19789,            0.059022,            0.012893,                   0,           0.0034719,           0.0034719,            0.067572
                  40,            0.050973,            0.013552,                   0,             0.99774,             0.66667,             0.79944,             0.27414,            0.051104,            0.013413,                   0,           0.0035527,           0.0035527,            0.066753
                  41,            0.049718,            0.013784,                   0,             0.71425,             0.83321,              0.7429,             0.19904,             0.05111,            0.012782,                   0,           0.0036331,           0.0036331,            0.065933
                  42,            0.049878,            0.013788,                   0,             0.55348,             0.83333,             0.56873,              0.1956,            0.054167,            0.012917,                   0,           0.0037131,           0.0037131,            0.065113
                  43,            0.051544,            0.013826,                   0,             0.79941,             0.66667,             0.75071,             0.25447,            0.057138,            0.012366,                   0,           0.0037925,           0.0037925,            0.064293
                  44,            0.053985,            0.012992,                   0,               0.998,             0.83333,             0.84039,             0.26415,            0.054995,            0.012841,                   0,           0.0038715,           0.0038715,            0.063471
                  45,             0.05235,            0.013042,                   0,              0.7137,             0.83333,             0.76286,             0.22784,             0.06042,             0.01211,                   0,           0.0039499,           0.0039499,             0.06265
                  46,            0.050376,             0.01221,                   0,             0.99864,             0.83333,             0.85841,             0.31322,            0.053598,             0.01266,                   0,           0.0040279,           0.0040279,            0.061828
                  47,             0.04561,            0.010946,                   0,             0.83315,             0.83241,             0.81733,             0.34644,            0.058574,            0.011965,                   0,           0.0041054,           0.0041054,            0.061005
