               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12538,            0.024915,                   0,                   0,                   0,                   0,                   0,             0.12744,            0.020817,                   0,               7e-05,               7e-05,             0.09937
                   1,             0.12137,            0.024338,                   0,          0.00019134,                0.04,          8.4174e-05,          4.2087e-05,             0.12351,            0.020805,                   0,             0.00015,             0.00015,             0.09865
                   2,             0.11836,            0.024194,                   0,          0.00052013,                0.12,          0.00027837,          5.4658e-05,             0.11994,            0.021101,                   0,          0.00022998,          0.00022998,             0.09793
                   3,             0.11453,            0.022604,                   0,          0.00053889,                0.12,          0.00028017,           7.219e-05,             0.11461,            0.021879,                   0,          0.00030994,          0.00030994,             0.09721
                   4,             0.11149,            0.023559,                   0,           0.0017347,                0.08,          0.00070325,          0.00016104,             0.10985,            0.022573,                   0,          0.00038986,          0.00038986,             0.09649
                   5,             0.10663,            0.023066,                   0,           0.0021423,                0.12,          0.00078295,          0.00016743,             0.10534,            0.023258,                   0,          0.00046974,          0.00046974,             0.09577
                   6,             0.10419,            0.022505,                   0,          0.00096991,                0.24,          0.00062433,           0.0001479,             0.10182,            0.023693,                   0,          0.00054957,          0.00054957,             0.09505
                   7,             0.10219,             0.02361,                   0,          0.00095275,                0.24,          0.00059482,          9.4936e-05,            0.097174,            0.024371,                   0,          0.00062932,          0.00062932,            0.094329
                   8,            0.096971,            0.023737,                   0,           0.0011385,                0.28,          0.00077746,          0.00013576,            0.092948,            0.025076,                   0,            0.000709,            0.000709,            0.093609
                   9,            0.094627,            0.021691,                   0,           0.0052778,                0.04,           0.0010856,          0.00016075,            0.087606,            0.025782,                   0,           0.0007886,           0.0007886,            0.092889
                  10,            0.088697,            0.024639,                   0,            0.018511,                0.08,            0.003775,           0.0010015,            0.082146,            0.026486,                   0,          0.00086809,          0.00086809,            0.092168
                  11,            0.083822,             0.02294,                   0,            0.089881,                0.08,            0.015321,           0.0040362,             0.08014,            0.026241,                   0,          0.00094748,          0.00094748,            0.091447
                  12,            0.080954,            0.025243,                   0,             0.83281,                0.08,              0.1363,             0.04665,            0.072693,            0.026604,                   0,           0.0010268,           0.0010268,            0.090727
                  13,            0.074871,            0.024965,                   0,             0.34656,                0.64,             0.30024,            0.062059,            0.066751,            0.026492,                   0,           0.0011059,           0.0011059,            0.090006
                  14,            0.072686,            0.024943,                   0,             0.36122,                0.68,             0.32643,            0.061817,            0.069645,            0.025054,                   0,           0.0011849,           0.0011849,            0.089285
                  15,             0.07341,            0.022125,                   0,              0.3197,                0.64,             0.33896,            0.088574,            0.063298,            0.024794,                   0,           0.0012637,           0.0012637,            0.088564
                  16,            0.069677,            0.021909,                   0,             0.36509,                0.56,             0.32749,            0.088338,             0.06245,            0.023354,                   0,           0.0013424,           0.0013424,            0.087842
                  17,            0.066736,            0.021805,                   0,             0.49896,                 0.6,              0.4324,              0.1088,            0.061313,            0.022919,                   0,            0.001421,            0.001421,            0.087121
                  18,            0.063267,             0.02214,                   0,             0.32048,                0.68,             0.35758,            0.089765,            0.067395,             0.02039,                   0,           0.0014993,           0.0014993,            0.086399
                  19,            0.063587,            0.018838,                   0,             0.35738,                0.44,             0.33981,            0.088752,             0.06222,            0.019628,                   0,           0.0015775,           0.0015775,            0.085677
                  20,             0.06404,            0.019437,                   0,              0.4983,              0.5166,             0.45304,             0.11244,            0.060046,             0.01966,                   0,           0.0016554,           0.0016554,            0.084955
                  21,            0.082999,            0.015647,                   0,             0.56364,                0.52,             0.48577,             0.13558,            0.068032,            0.017786,                   0,           0.0017331,           0.0017331,            0.084233
                  22,            0.069508,            0.017516,                   0,             0.40588,                0.52,             0.39163,              0.0921,            0.074647,            0.017445,                   0,           0.0018107,           0.0018107,            0.083511
                  23,            0.068435,            0.017225,                   0,             0.61821,             0.51824,             0.54499,             0.11211,             0.06148,            0.019289,                   0,           0.0018879,           0.0018879,            0.082788
                  24,            0.066786,            0.017102,                   0,             0.35681,                0.76,             0.46458,            0.094272,            0.060104,            0.019133,                   0,            0.001965,            0.001965,            0.082065
                  25,            0.066547,            0.018063,                   0,             0.34337,                0.44,             0.32584,             0.05537,            0.066313,            0.017279,                   0,           0.0020418,           0.0020418,            0.081342
                  26,            0.066967,              0.0157,                   0,             0.45965,                0.76,             0.58675,             0.15981,            0.054531,            0.018935,                   0,           0.0021183,           0.0021183,            0.080618
                  27,            0.064558,            0.015801,                   0,             0.69921,                0.56,             0.60639,             0.14505,            0.065248,            0.017418,                   0,           0.0021946,           0.0021946,            0.079895
                  28,            0.061872,            0.016406,                   0,             0.54994,                0.64,             0.54019,             0.15156,            0.059941,            0.017283,                   0,           0.0022706,           0.0022706,            0.079171
                  29,            0.063355,            0.018466,                   0,             0.35897,                0.68,             0.38189,            0.078428,            0.063338,            0.016675,                   0,           0.0023463,           0.0023463,            0.078446
                  30,            0.059643,            0.015768,                   0,             0.45391,                0.64,             0.43942,            0.087335,            0.063712,            0.016132,                   0,           0.0024216,           0.0024216,            0.077722
                  31,            0.059887,            0.016047,                   0,             0.54788,                0.68,             0.56438,             0.13295,            0.057248,            0.016491,                   0,           0.0024967,           0.0024967,            0.076997
                  32,            0.059134,            0.014942,                   0,             0.76688,              0.7898,             0.85953,              0.2229,            0.053052,            0.017008,                   0,           0.0025715,           0.0025715,            0.076271
                  33,            0.059367,            0.015683,                   0,             0.53581,                0.84,             0.69526,             0.17979,            0.058328,            0.015834,                   0,           0.0026459,           0.0026459,            0.075546
                  34,            0.056809,            0.015897,                   0,             0.66576,                0.64,             0.65798,             0.16148,             0.05559,            0.016011,                   0,             0.00272,             0.00272,             0.07482
